fecha,cuenta,texto
Thu Dec 01 16:12:03 +0000 2016,Gus_Grexican,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 15:57:45 +0000 2016,mwissa,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 15:56:07 +0000 2016,babsben,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 15:39:47 +0000 2016,monolithic87,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 15:24:19 +0000 2016,jw33062,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 15:09:58 +0000 2016,Pat1036,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 14:46:31 +0000 2016,JenTromans,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 14:45:01 +0000 2016,PeacockCloud,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 14:44:45 +0000 2016,Njoyus1,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 14:37:33 +0000 2016,Dredondo56Dr,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 14:35:39 +0000 2016,cincool,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 14:30:33 +0000 2016,ganeshk1102,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 14:27:28 +0000 2016,dakumaku,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 01 14:10:47 +0000 2016,jimjnowicki,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Wed Dec 28 10:08:52 +0000 2016,korloki,President Trump mau visit Mexico and Canada the other two nations in North America over NAFTA.
Sat Dec 24 14:41:14 +0000 2016,sonandoyvolando,@sonandoyvolando escaping Trump wave to come to Mexico and visit family only to find a venue who dismisses the public for not having a
Sat Dec 24 02:30:22 +0000 2016,squashum,"@CNNPolitics   
El Chappo Family wants you visit with Trump send him in......oh that's right he is scared Trump won't go anywhere mexico..."
Sat Dec 24 00:24:53 +0000 2016,Reggaemanstomp,Donald Trump visit Mexico. https://t.co/X5SwD5sylE via @YouTube
Thu Dec 22 15:25:19 +0000 2016,FinanceExaminer,The way for Trump to make Mexico pay for the wall is to institute a 'stadium tax' on those coming in for a visit - https://t.co/3WfnfGTzxN
Tue Dec 20 22:14:41 +0000 2016,billmceachern,"@MAAWLAW @acoyne Trump's first visit won't be to Canada.  Mexico, China, maybe Israel."
Tue Dec 20 21:55:47 +0000 2016,dianapop,https://t.co/RbPiLPmFxO Donald Trump’s Going to Mexico and Twitter Is Having a Field Day https://t.co/R3fyrTxfdH 👏👏… https://t.co/YRPlN0MxJO
Tue Dec 20 09:34:14 +0000 2016,NBoardcast,"RT @cupworld710: Donald Trump Tackles Immigration With Speech, Mexico Visit: https://t.co/okQ5JRbydO via @YouTube"
Tue Dec 20 02:00:18 +0000 2016,PAZENJUSTICIA1,"Trump already spoke to EPN, remember his visit To Mx? Besides, this news is great for México https://t.co/jcc06cWz1N"
Sun Dec 18 02:55:53 +0000 2016,DragonMonsieur,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Sat Dec 17 09:16:29 +0000 2016,zyiteblog,Border cities worry that ending NAFTA would hurt economies - Donald Trump's only visit to the U.S.-Mexico borde... https://t.co/qGnEcWS9xc
Thu Dec 15 07:18:32 +0000 2016,WRCB,Border cities worry that ending NAFTA would hurt economies - Donald Trump's only visit to the U.S.-Mexico borde... https://t.co/y5JMyfSkOK
Wed Dec 14 20:17:04 +0000 2016,stra7egic,Mexico president says Trump visit could have been done better https://t.co/YS9wkebnf6 https://t.co/b0M4PRkasp
Wed Dec 14 02:23:32 +0000 2016,_Christenn,I want to go to Cancun but my daddy said I can't visit Mexico while trump is president..🙄
